UserScreenName,formatted_text,Timestamp,Comments,Likes,Retweets
Embajada de Rusia en Chile," qué es el neonazismo ucraniano por ejemplo es cuando un ex presidente está tomando selfies muy divertidos después del espectáculo ""la masacre de #bucha e empatía ¡basta ya #desnazificacion",2022-04-12T01:55:41.000Z,5.0,12.0,28.0
Embajada de Rusia en Chile,"La mala preparación del ""stand up ",2022-04-16T16:32:43.000Z,3.0,7.0,26.0
Embajada de Rusia en Chile,Y además un mensaje para mercenarios extranjeros neonazi keep calm stay home #desnazificacion,2022-04-16T17:16:48.000Z,2.0,4.0,9.0
Embajada de Rusia en Chile,La rúbrica ¿el régimen de kiev tiene la obligación de respetar y poner en práctica los derechos humanos ¿es solo una cuestión de gustos ¿cuál es el propósito del bombardeo ucraniano de dos mercados en #donetsk este jueves  civiles murieron 21 personas resultaron heridas.,2022-04-29T17:48:54.000Z,1.0,20.0,48.0
Embajada de Rusia en Chile,"Estimados seguidores les invitamos a leer el ""manifiesto en defensa de la vida publicado por el colectivo de escritores luis enrique délano https goo.su gxcf #opinion #manifiesto #stophatingrussians",2022-05-05T02:51:37.000Z,3.0,8.0,37.0
Embajada de Rusia en Chile,El  de mayo el día de la #victoria en la gran guerra patria la #música con espíritu del triunfo del mundo libre sobre el nazismo y fascismo para nuestros estimados seguidores https goo.su c0h3oz,2022-05-09T01:14:36.000Z,4.0,24.0,68.0
Embajada de Rusia en Chile, la cultura de la cancelación se ha convertido en la cancelación de la cultura el presidente de rusia vladímir putin.,2022-05-07T16:59:10.000Z,2.0,5.0,16.0
Embajada de Rusia en Chile,La verdadera soberanía de ucrania solo es posible en asociación con rusia nuestros lazos espirituales humanos y de civilización se formaron durante siglos y tienen su origen en las mismas fuentes se han endurecido por pruebas logros y victorias comunes vladímir putin,2022-08-17T18:44:28.000Z,10.0,3.0,10.0
Embajada de Rusia en Chile, esa es polina la primera niña rusa que nació en la república popular de donetsk (rpd después de su reunificación con rusia escribió en su blog el presidente del gobierno de la rpd vitaly khotsenko ¡deseamos a su familia felicidad salud y paz ,2022-10-01T22:59:59.000Z,5.0,6.0,26.0
Embajada de Rusia en Chile,El omandante en jefe de las ff.aa del régimen #neonazi de kiev valerii zaluzhnyi en su cuenta oficial de twitter publica una foto de sí mismo llevando una pulsera con #esvástica una prueba más (que ya nos sobran #desnazificación,2022-10-09T22:22:10.000Z,15.0,11.0,6.0
Embajada de Rusia en Chile, la embajada de #rusia en #chile les desea una feliz #navidad la plaza roja moscú por andrey moshkarov,2022-12-25T14:07:35.000Z,1.0,14.0,127.0
Embajada de Rusia en Chile,Mensaje del presidente de la federación de rusia vladimir #putin a la asamblea federal https is.gd xu2dh,2023-02-21T17:24:43.000Z,1.0,1.0,6.0
Embajada de Rusia en Chile,Hoy celebramos el último día de la #máslenitsa la semana de la crepería esta fiesta tiene sus inicios en las tradiciones paganas y hace siglos significaba el comienzo de la primavera ,2023-02-26T14:27:05.000Z,4.0,7.0,29.0
Embajada de Rusia en Chile,"Les invitamos a leer el artículo del embajador de rusia en chile sergei n koshkin publicado en ""el mercurio una clara explicación de la crisis en #ucrania https t.me embruschile ",2023-02-28T23:31:31.000Z,5.0,10.0,21.0
Embajada de Rusia en Chile,"Clarísima la explicación del vicepresidente del consejo de seguridad de rusia dmitry medvedev la ""corte penal internacional ha emitido una orden de detención contra vladimir putin no hace falta explicar d nde debe utilizarse este papelito #seguimos",2023-03-18T14:03:12.000Z,3.0,3.0,12.0
Embajada de Rusia en Chile, ayuda a dora a encontrar las cosas más politizadas ,2023-03-18T15:02:14.000Z,1.0,2.0,1.0
Rusia en Uruguay,El embajador de rusia andrey budaev preparó el artículo titulado “suposiciones y realidades sobre la situación en torno a ucrania que fue publicado hoy en el periódico @diariolaruy http bit.ly fqwr,2022-01-28T17:11:02.000Z,5.0,22.0,39
Rusia en Uruguay,Compartimos con ustedes el articulo publicado en @diariolaruy sobre los crímenes de guerra cometidos por los militares #ucranianos en #donbas https grupormultimedio.com crimenes de guerra en donbas id1007908 ,2022-02-23T13:11:28.000Z,12.0,162.0,158
Rusia en Uruguay,Hoy en el periódico uruguayo @diariolaruy fue publicado el artículo del embajador de rusia en uruguay andrey budaev titulado “operación especial de rusia en ucrania es un paso firme hacia la paz y estabilidad en este país y en europa http bit.ly hnqdnj,2022-02-25T14:52:10.000Z,75.0,281.0,356
