_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames
Channel,1763071465,Embajada de Rusia en Mexico,"{'_': 'ChatPhoto', 'photo_id': 5246723347646102593, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa1\xfb\xbf\xb3\xe7\x8c\xe3\xa6y\xcd\x14QZ\xa4#'}",2022-02-26 01:30:46+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-5600658955735885715,embrusiamexico,[],,,,10882,[]
Channel,1272156698,RT Futuro,"{'_': 'ChatPhoto', 'photo_id': 5255834270361041377, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x9b\xf7\xfb\xcf)\xb7?\x8e3\xfe\x14QEly\xbc\xc7'}",2022-03-01 15:20:07+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5940496878337579415,RTfuturo,[],,,,12034,[]
Channel,1597438018,Embajada de Rusia en Panamá / Посольство России в Панаме,"{'_': 'ChatPhoto', 'photo_id': 5283253397413280439, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa3\x94\xf2:\r\xd4QEl\x8c\xcf'}",2022-02-26 02:42:23+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-9024755082996057259,EmbRusPan,[],,,,332,[]
Channel,1618643037,Rusia en Colombia,"{'_': 'ChatPhoto', 'photo_id': 4977022091769522597, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcd\xfd\xdf\x93\xfe\xdd\x14QZ\xd8\x93'}",2022-03-04 14:17:18+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1753877215592008466,rusiaencolombia,[],,,,393,[]
Channel,1625506225,Embajada de Rusia en Chile,"{'_': 'ChatPhoto', 'photo_id': 4958670392298416636, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08g\xfaO\xda3\x86\xf3\xf7c\x1f\xe7\xb5\x14QN\xe0\x7f'}",2022-02-26 04:47:55+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-7579710211677762657,embruschile,[],,,,317,[]
Channel,1635652766,Rusia Multifacética,"{'_': 'ChatPhoto', 'photo_id': 5348479699938032783, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08V\xb9\x98D\t+\xbc\xf6\xc7\x14QE'Q\xae\x88\xe9\x85\x18\xc9j\x7f""}",2022-02-25 17:13:31+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1476349817915209600,rusiamultifacetica,[],,,,377,[]
Channel,1616473846,Casa Rusa en Buenos Aires🇦🇷,"{'_': 'ChatPhoto', 'photo_id': 4965223816607410791, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08o\xee\xbc\x9f\xf6\xf1\xfa\xd1E\x15\xd6\x8eV\xcf'}",2022-02-28 16:39:46+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,443736613905896250,CasaRusaEnBuenosAires,[],,,,446,[]
Channel,1661629873,Casa Rusa en Buenos Aires🇦🇷 Chat,"{'_': 'ChatPhoto', 'photo_id': 5123019282974878190, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08y@\t\x8c\xe7b\xf1\x828\xc5\x14QHg'}",2022-07-28 16:56:52+00:00,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-1564698921411827273,casarusa_buenos_aires,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': False, 'send_stickers': False, 'send_gifs': False, 'send_games': False, 'send_inline': False, 'embed_links': False, 'send_polls': False, 'change_info': True, 'invite_users': True, 'pin_messages': True, 'manage_topics': False}",20,[]
Channel,1720152832,EmbajadaRusaVen,"{'_': 'ChatPhoto', 'photo_id': 4963261845481826918, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x8f|\xbb\xf1\xb7\xfd'?\x8e\x7f\xc2\x8a(\xa6\xb4\x1b?""}",2022-02-28 15:48:54+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9115617296934541622,embajadarusaven,[],,,,506,[]
Channel,1425882738,"¿QUÉ PASA, LATINOAMÉRICA?","{'_': 'ChatPhoto', 'photo_id': 5238158366814092359, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xbcL\x80)EP3\x83\x93\x9c\xd1E\x14X\x0f'}",2021-04-07 15:11:18+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-396802314684032069,enotvlatinoamerica,[],,,,11921,[]
